Ticker,Event_Target_Date,Event_Actual_Date,Volatility_90d_Annualized,CAR_minus5_to_plus5
AALI.JK,2024-02-23,2024-02-23,0.16411940027598065,9.419138179432227e-05
ACRO.JK,2024-03-30,2024-04-01,1.1163352388941576,-0.2303802940196942
ADMF.JK,2024-04-22,2024-04-22,0.24970396544202347,-0.10080357953440151
ADMR.JK,2024-02-29,2024-02-29,0.5366845172786497,-0.003271580679064353
ADRO.JK,2024-03-01,2024-03-01,0.26988984914615327,0.09548660667746153
AEGS.JK,2024-03-27,2024-03-27,0.9168954866678785,-0.004131572643088388
AKRA.JK,2024-03-21,2024-03-21,0.23582421846176227,-0.04502207353269408
ALDO.JK,2024-04-16,2024-04-16,0.4261758583849099,-0.05011535682675318
ALTO.JK,2024-06-20,2024-06-20,0.7467948763114748,0.4314335292305203
AMFG.JK,2024-03-14,2024-03-14,0.11632944614960122,-0.020813339332776234
AMMN.JK,2024-03-27,2024-03-27,0.5327066004515071,-0.04248222374305904
AMOR.JK,2024-09-05,2024-09-05,0.39209277578077534,0.1568362534608545
ANDI.JK,2024-03-28,2024-03-28,0.0,-0.7842254149307418
ANJT.JK,2024-03-29,2024-04-01,0.17124169987704188,-0.0122321102382946
ANTM.JK,2024-03-29,2024-04-01,0.31498512050166416,0.06531604619729026
APIC.JK,2024-04-02,2024-04-02,0.3113895753129671,0.0012229333636603196
ARCI.JK,2024-03-27,2024-03-27,0.45095913114131175,0.03114233127515903
ARGO.JK,2024-05-07,2024-05-07,0.14444670230475976,-0.001872892187635887
ARII.JK,2024-03-31,2024-04-01,0.7374567935540352,-0.007463356023702697
ARKA.JK,2024-03-31,2024-04-01,0.0,-0.8751345058398328
ARKO.JK,2024-03-08,2024-03-08,0.5233117410750712,-0.13375903529739647
ASLI.JK,2024-04-01,2024-04-01,0.7960757217557978,0.11187527039872769
AUTO.JK,2024-02-29,2024-02-29,0.4105813108373442,-0.030622774444125304
AVIA.JK,2024-03-04,2024-03-04,0.4708253020362248,-0.029304524079842503
AXIO.JK,2024-03-31,2024-04-01,0.3847827800648046,-0.028712497279190268
AYAM.JK,2024-05-16,2024-05-16,0.6037296158474365,0.04666706854085379
BAJA.JK,2024-04-01,2024-04-01,0.24831184064369313,0.04296899371786726
BAPA.JK,2024-04-02,2024-04-02,0.7670534869862358,-0.004716990110634603
BBLD.JK,2024-03-28,2024-03-28,0.6177528175224722,0.16579976580177458
BBRM.JK,2024-03-28,2024-03-28,0.45281789899884356,-0.011323420099595695
BCIP.JK,2024-04-04,2024-04-04,0.29434350448165797,0.02279813002571378
BDKR.JK,2024-03-28,2024-03-28,0.25579013505497583,0.04301758385461178
BEBS.JK,2024-04-03,2024-04-03,0.0,0.0
BEEF.JK,2024-04-01,2024-04-01,0.7395167417981787,-0.23239515615000364
BELL.JK,2024-03-28,2024-03-28,0.6936094676316691,-0.10298415593548085
BESS.JK,2024-05-20,2024-05-20,0.5228000088126038,-0.07591049879600409
BFIN.JK,2024-02-23,2024-02-23,0.36532378176507585,0.02060638453207065
BINO.JK,2024-03-31,2024-04-01,0.12841430783037794,-0.009824969040159292
BIRD.JK,2024-03-28,2024-03-28,0.2744709694095386,0.01900575167892028
BKDP.JK,2024-04-03,2024-04-03,0.5130088521245664,-0.026810823008292694
BLTA.JK,2024-04-15,2024-04-16,0.2739624660562265,-0.7055531873142291
BLTZ.JK,2024-04-02,2024-04-02,0.9426186738166298,-0.009505983383726135
BOBA.JK,2024-03-20,2024-03-20,0.315272214170264,-0.0007295981762472613
BOGA.JK,2024-03-28,2024-03-28,0.1421469720880559,-0.19440390733399798
BOLT.JK,2024-05-27,2024-05-27,0.22092044347148596,0.1384511270752175
